monthyear,campfilename,nationality,proportion
22018,Alexandria-Ref_GRE_003,Syrian,0.44
22018,Alexandria-Ref_GRE_003,Iraqi,0.25
22018,Alexandria-Ref_GRE_003,Pakistani,0.08
22018,Alexandria-Ref_GRE_003,Palestinian,0.04
22018,Diavata_GRE_008,Syrian,0.38
22018,Diavata_GRE_008,Iraqi,0.24
22018,Diavata_GRE_008,Iranian,0.05
22018,Diavata_GRE_008,Afghan,0.26
22018,XXDoliana_GRE_007,Syrian,0.7
22018,XXDoliana_GRE_007,Yemeni,0.06
22018,XXDoliana_GRE_007,Iranian,0.06
22018,XXDoliana_GRE_007,Stateless,0.07
22018,Eleonas_GRE_013 ,Syrian,0.29
22018,Eleonas_GRE_013 ,Yemeni,0
22018,Eleonas_GRE_013 ,Iraqi,0.06
22018,Eleonas_GRE_013 ,Congolese,0
22018,Eleonas_GRE_013 ,Eritrean,0
22018,Eleonas_GRE_013 ,Iranian,0.09
22018,Eleonas_GRE_013 ,Pakistani,0.05
22018,Eleonas_GRE_013 ,Palestinian,0
22018,Eleonas_GRE_013 ,Afghan,0.51
22018,Eleonas_GRE_013 ,Stateless,0
22018,Eleonas_GRE_013 ,Somali,0
22018,Eleonas_GRE_013 ,Kuwaiti,0
22018,Eleonas_GRE_013 ,Moroccan,0
22018,Eleonas_GRE_013 ,Egyptian,0
22018,Eleonas_GRE_013 ,Algerian,0
22018,XXFilipiada_GRE_019,Syrian,0.09
22018,XXFilipiada_GRE_019,Iraqi,0.4
22018,XXFilipiada_GRE_019,Iranian,0.07
22018,XXFilipiada_GRE_019,Afghan,0.42
22018,Kato-Milia_GRE_061,Syrian,0.64
22018,Kato-Milia_GRE_061,Iraqi,0.13
22018,Kato-Milia_GRE_061,Palestinian,0.06
22018,Kato-Milia_GRE_061,Afghan,0.12
22018,XXKonitsa_GRE_026,Syrian,1
22018,XXKonitsa_GRE_026,Yemeni,0
22018,XXKonitsa_GRE_026,Iraqi,0
22018,XXKonitsa_GRE_026,Congolese,0
22018,XXKonitsa_GRE_026,Eritrean,0
22018,XXKonitsa_GRE_026,Iranian,0
22018,XXKonitsa_GRE_026,Pakistani,0
22018,XXKonitsa_GRE_026,Palestinian,0
22018,XXKonitsa_GRE_026,Afghan,0
22018,XXKonitsa_GRE_026,Stateless,0
22018,XXKonitsa_GRE_026,Somali,0
22018,XXKonitsa_GRE_026,Kuwaiti,0
22018,XXKonitsa_GRE_026,Moroccan,0
22018,XXKonitsa_GRE_026,Egyptian,0
22018,XXKonitsa_GRE_026,Algerian,0
22018,Koutsochero_GRE_028 ,Syrian,0.55
22018,Koutsochero_GRE_028 ,Iraqi,0.2
22018,Koutsochero_GRE_028 ,Congolese,0.07
22018,Koutsochero_GRE_028 ,Palestinian,0.03
22018,Lagkadikia_GRE_029 ,Syrian,0.61
22018,Lagkadikia_GRE_029 ,Iraqi,0.29
22018,Lagkadikia_GRE_029 ,Iranian,0.02
22018,Lagkadikia_GRE_029 ,Pakistani,0.04
22018,Lavrio-New_GRE_030 ,Syrian,0.54
22018,Lavrio-New_GRE_030 ,Iraqi,0.09
22018,Lavrio-New_GRE_030 ,Iranian,0.06
22018,Lavrio-New_GRE_030 ,Afghan,0.12
22018,Leros-Lepida_GRE_032,Syrian,0.17
22018,Leros-Lepida_GRE_032,Iraqi,0.5
22018,Leros-Lepida_GRE_032,Afghan,0.12
22018,Leros-Lepida_GRE_032,Stateless,0.05
22018,Moria_GRE_001,Syrian,0.37
22018,Moria_GRE_001,Iraqi,0.14
22018,Moria_GRE_001,Congolese,0.05
22018,Moria_GRE_001,Afghan,0.18
22018,Nea-Kavala_GRE_034,Syrian,0.29
22018,Nea-Kavala_GRE_034,Iraqi,0.14
22018,Nea-Kavala_GRE_034,Congolese,0.09
22018,Nea-Kavala_GRE_034,Eritrean,0.1
22018,XXPikpa-Leros_GRE_038,Syrian,0.38
22018,XXPikpa-Leros_GRE_038,Yemeni,0
22018,XXPikpa-Leros_GRE_038,Iraqi,0.58
22018,XXPikpa-Leros_GRE_038,Congolese,0
22018,XXPikpa-Leros_GRE_038,Eritrean,0
22018,XXPikpa-Leros_GRE_038,Iranian,0
22018,XXPikpa-Leros_GRE_038,Pakistani,0.02
22018,XXPikpa-Leros_GRE_038,Palestinian,0
22018,XXPikpa-Leros_GRE_038,Afghan,0
22018,XXPikpa-Leros_GRE_038,Stateless,0
22018,XXPikpa-Leros_GRE_038,Somali,0.02
22018,XXPikpa-Leros_GRE_038,Kuwaiti,0
22018,XXPikpa-Leros_GRE_038,Moroccan,0
22018,XXPikpa-Leros_GRE_038,Egyptian,0
22018,XXPikpa-Leros_GRE_038,Algerian,0
22018,Skaramangas_GRE_014,Syrian,0.56
22018,Skaramangas_GRE_014,Yemeni,0
22018,Skaramangas_GRE_014,Iraqi,0.33
22018,Skaramangas_GRE_014,Congolese,0
22018,Skaramangas_GRE_014,Eritrean,0
22018,Skaramangas_GRE_014,Iranian,0.02
22018,Skaramangas_GRE_014,Pakistani,0
22018,Skaramangas_GRE_014,Palestinian,0
22018,Skaramangas_GRE_014,Afghan,0.09
22018,Skaramangas_GRE_014,Stateless,0
22018,Skaramangas_GRE_014,Somali,0
22018,Skaramangas_GRE_014,Kuwaiti,0
22018,Skaramangas_GRE_014,Moroccan,0
22018,Skaramangas_GRE_014,Egyptian,0
22018,Skaramangas_GRE_014,Algerian,0
22018,Vathi-Samos_GRE_053,Syrian,0.29
22018,Vathi-Samos_GRE_053,Iraqi,0.27
22018,Vathi-Samos_GRE_053,Congolese,0.06
22018,Vathi-Samos_GRE_053,Afghan,0.13
22018,XXVial-Chios-NRC_GRE_066,Syrian,0.35
22018,XXVial-Chios-NRC_GRE_066,Yemeni,0.04
22018,XXVial-Chios-NRC_GRE_066,Iraqi,0.29
22018,XXVial-Chios-NRC_GRE_066,Afghan,0.11
12017,Alexandria-Ref_GRE_003,Syrian,0.99
12017,Alexandria-Ref_GRE_003,Yemeni,0
12017,Alexandria-Ref_GRE_003,Iraqi,0.01
12017,Alexandria-Ref_GRE_003,Congolese,0
12017,Alexandria-Ref_GRE_003,Eritrean,0
12017,Alexandria-Ref_GRE_003,Iranian,0
12017,Alexandria-Ref_GRE_003,Pakistani,0
12017,Alexandria-Ref_GRE_003,Palestinian,0
12017,Alexandria-Ref_GRE_003,Afghan,0
12017,Alexandria-Ref_GRE_003,Stateless,0
12017,Alexandria-Ref_GRE_003,Somali,0
12017,Alexandria-Ref_GRE_003,Kuwaiti,0
12017,Alexandria-Ref_GRE_003,Moroccan,0
12017,Alexandria-Ref_GRE_003,Egyptian,0
12017,Alexandria-Ref_GRE_003,Algerian,0
12017,Andravida_GRE_004,Syrian,1
12017,Andravida_GRE_004,Yemeni,0
12017,Andravida_GRE_004,Iraqi,0
12017,Andravida_GRE_004,Congolese,0
12017,Andravida_GRE_004,Eritrean,0
12017,Andravida_GRE_004,Iranian,0
12017,Andravida_GRE_004,Pakistani,0
12017,Andravida_GRE_004,Palestinian,0
12017,Andravida_GRE_004,Afghan,0
12017,Andravida_GRE_004,Stateless,0
12017,Andravida_GRE_004,Somali,0
12017,Andravida_GRE_004,Kuwaiti,0
12017,Andravida_GRE_004,Moroccan,0
12017,Andravida_GRE_004,Egyptian,0
12017,Andravida_GRE_004,Algerian,0
12017,XXDerveni-Alexil_GRE_007,Syrian,1
12017,XXDerveni-Alexil_GRE_007,Yemeni,0
12017,XXDerveni-Alexil_GRE_007,Iraqi,0
12017,XXDerveni-Alexil_GRE_007,Congolese,0
12017,XXDerveni-Alexil_GRE_007,Eritrean,0
12017,XXDerveni-Alexil_GRE_007,Iranian,0
12017,XXDerveni-Alexil_GRE_007,Pakistani,0
12017,XXDerveni-Alexil_GRE_007,Palestinian,0
12017,XXDerveni-Alexil_GRE_007,Afghan,0
12017,XXDerveni-Alexil_GRE_007,Stateless,0
12017,XXDerveni-Alexil_GRE_007,Somali,0
12017,XXDerveni-Alexil_GRE_007,Kuwaiti,0
12017,XXDerveni-Alexil_GRE_007,Moroccan,0
12017,XXDerveni-Alexil_GRE_007,Egyptian,0
12017,XXDerveni-Alexil_GRE_007,Algerian,0
12017,Diavata_GRE_008,Syrian,0.74
12017,Diavata_GRE_008,Afghan,0.18
12017,XXDoliana_GRE_007,Syrian,0.86
12017,XXDoliana_GRE_007,Yemeni,0
12017,XXDoliana_GRE_007,Iraqi,0
12017,XXDoliana_GRE_007,Congolese,0
12017,XXDoliana_GRE_007,Eritrean,0
12017,XXDoliana_GRE_007,Iranian,0
12017,XXDoliana_GRE_007,Pakistani,0
12017,XXDoliana_GRE_007,Palestinian,0
12017,XXDoliana_GRE_007,Afghan,0.14
12017,XXDoliana_GRE_007,Stateless,0
12017,XXDoliana_GRE_007,Somali,0
12017,XXDoliana_GRE_007,Kuwaiti,0
12017,XXDoliana_GRE_007,Moroccan,0
12017,XXDoliana_GRE_007,Egyptian,0
12017,XXDoliana_GRE_007,Algerian,0
12017,Eleonas_GRE_013 ,Syrian,0.35
12017,Eleonas_GRE_013 ,Afghan,0.55
12017,XXElliniko-Hocky_GRE_016,Syrian,0
12017,XXElliniko-Hocky_GRE_016,Yemeni,0
12017,XXElliniko-Hocky_GRE_016,Iraqi,0
12017,XXElliniko-Hocky_GRE_016,Congolese,0
12017,XXElliniko-Hocky_GRE_016,Eritrean,0
12017,XXElliniko-Hocky_GRE_016,Iranian,0
